,,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+
Netherlands,All Contacts,0.15,0.24,1.44,9.19,0.83,0.29,1.25,0.08,0.57,0.79,0.46,0.46,0.39,0,0.24
Netherlands,All Contacts,0.24,0.18,0.16,1.25,2.42,0.57,0.75,0.85,2.29,0.71,2.23,0.85,0.5,0.29,0.29
Netherlands,All Contacts,0.21,0.88,0.13,0.44,1.58,1.86,2.25,0.62,0.86,1.21,1.85,0.38,0.56,0.41,0.32
Netherlands,All Contacts,1.26,0.71,0.25,0.44,2.67,1,3.75,1,1.71,0.86,0.85,0.92,0.94,0.18,0.49
Netherlands,All Contacts,1.15,1.53,0.78,0.75,1.58,0.86,3,3.92,1.29,1.79,1.23,0.69,1.17,0.59,0.71
Netherlands,All Contacts,0.53,1.76,1.56,0.69,0.67,1.07,2.13,3.08,1.86,2.5,0.38,1.54,0.78,0.65,0.71
Netherlands,All Contacts,0.24,0.47,0.94,1.38,0.92,0.5,1.63,1.69,1.29,2.21,1.23,1,0.61,0.35,1.24
Netherlands,All Contacts,0.47,0.47,0.56,0.69,0.83,1.21,0.88,1.62,1.14,1.5,1.31,1.23,1.17,0.24,0.51
Netherlands,All Contacts,0.38,0.24,0.19,0.31,0.25,0.57,0.25,0.46,0,0.93,0.69,2.38,1.67,0.71,0.51
Netherlands,All Contacts,0.35,0.41,0.03,0.06,0.08,0.29,0.5,0.92,0.14,0.43,0.38,1.15,1.61,1.12,0.46
Netherlands,All Contacts,0.29,0.29,0.13,0.13,0,0.14,0.13,0.69,0.14,0,0.31,0.69,0.72,0.82,0.46
Netherlands,All Contacts,0.24,0.24,0.56,0.56,0.33,0.21,0.63,0.46,0,0.79,0.62,0.23,1.11,1,1.95
